group,names,scores,logfoldchanges,pvals,pvals_adj
1,Col1a1,27.349821,1.8298006,1.0852107255493763e-164,3.256717387373678e-161
1,Cmss1,25.374683,1.319911,4.800556386665742e-142,7.203234858191945e-139
1,H19,25.005857,1.703342,5.2792001371423143e-138,5.280959870521362e-135
1,Sparc,17.471853,1.2448995,2.3474632009516305e-68,1.4089474132111686e-65
1,Col1a2,17.247272,1.592699,1.173072990951483e-66,5.867320076409001e-64
1,Igf2,16.469324,1.2626802,6.0946758849250946e-61,2.6128746186657443e-58
1,Airn,16.097303,1.2675841,2.664699045433706e-58,9.99595229418319e-56
1,Lgals1,14.239777,1.7635509,5.189252114392902e-46,1.415722326844827e-43
1,Cdkn1c,11.388615,1.337254,4.7650315627803256e-30,6.217330313001634e-28
1,Ttn,10.020943,1.1527416,1.2332160754702493e-23,9.252203606215545e-22
1,Serpinh1,9.146233,1.0219316,5.895367257016424e-20,2.808253514016871e-18
1,Ahnak,8.450329,1.3245711,2.9048468231341165e-17,9.68605035136165e-16
1,Bgn,7.870284,1.3180151,3.538369532233816e-15,8.8488724718614e-14
1,Lmna,7.2105174,1.4122953,5.573959507230535e-13,1.0076778603131829e-11
1,Col8a1,6.811425,1.4048815,9.663665525231556e-12,1.4721147330568477e-10
1,Cnn2,6.484652,1.562714,8.893691642440792e-11,1.155409896924884e-09
1,Col6a2,6.444747,1.3535403,1.1579343867072961e-10,1.4787068487270619e-09
1,Eln,6.2332644,1.1969471,4.5681458005182977e-10,5.19280513157402e-09
1,Myh8,6.079909,1.2513595,1.202510411577333e-09,1.2395869182041191e-08
1,Runx2,5.977584,1.0583733,2.264712195309398e-09,2.25046400600116e-08
1,Cped1,5.8792014,1.0581466,4.12250107818568e-09,3.8302246859551783e-08
1,Col5a2,5.8618116,1.2122978,4.57844239332983e-09,4.227663268425483e-08
1,Mfap4,5.7655754,1.1934614,8.137960493079915e-09,7.099424255736287e-08
1,Postn,5.6976366,1.4558897,1.2147965702597173e-08,1.0211777331510957e-07
1,Tpm2,5.605912,1.1386006,2.0716083641797657e-08,1.657839120240927e-07
1,Col8a2,5.5259275,1.6382096,3.277497595988025e-08,2.548127016984472e-07
1,Col6a3,5.457638,1.1742901,4.825104443838376e-08,3.602024486556957e-07
1,Igf1,5.4234276,1.5022675,5.846695472371816e-08,4.2794958811189803e-07
1,Cd248,5.3702064,1.3736128,7.864660381662624e-08,5.632898760231392e-07
1,Sfrp2,4.7684793,1.7865578,1.8562168839078222e-06,1.0410826001617338e-05
1,Acta1,4.542235,1.1985149,5.566096440865057e-06,2.7655389766615954e-05
1,Myh3,4.28143,1.0438643,1.8569645960925823e-05,8.354948654983267e-05
1,S100a11,4.1134,1.2493916,3.898742016051443e-05,0.000163638
1,Fkbp10,3.8896523,1.0967102,0.000100388,0.000380865
1,Crip1,3.7717774,1.5086255,0.000162089,0.000591762
1,Tbx15,3.6550412,1.1371357,0.000257141,0.000894182
1,Tnnt3,3.582678,1.1207072,0.00034009,0.001157153
1,Alpl,3.567785,1.3317508,0.000360012,0.001215293
1,Pth1r,3.531034,1.2534014,0.000413939,0.001381627
1,Svep1,3.3897243,1.4094634,0.00069963,0.002184795
1,Cavin1,3.2218697,1.3646278,0.00127357,0.0037804
1,Myl4,3.021075,1.0569309,0.002518789,0.007031522
1,Aebp1,2.997947,1.159232,0.00271805,0.007510929
1,Matn4,2.9906318,1.6686589,0.00278401,0.007671567
1,Runx1,2.8074021,1.1405948,0.004994284,0.01276648
1,Ckm,2.7554953,1.1800704,0.005860337,0.014704740723773457
1,Tnnt1,2.5821652,1.0393502,0.009818256,0.023666335373521214
1,Copz2,2.486411,1.3435258,0.012903882197311693,0.029880054378188574
1,Emilin1,2.4342413,1.3138143,0.014923045812094606,0.03405632
1,Sfn,2.2761548,1.5520321,0.022836743306352037,0.049806008
10,Gm29260,9.740812,2.221177,2.0193419011132118e-22,2.0200150150802496e-19
10,Nfia,8.977789,1.0499394,2.7626225238161153e-19,2.0726575484930404e-16
10,Cdon,7.9736385,1.7939618,1.5406990551283863e-15,6.60519694920041e-13
10,Pantr1,7.9080305,1.8023494,2.6149276598240537e-15,9.80924738391498e-13
10,Dbi,7.5291157,2.3121405,5.1085088449067275e-14,1.5330635043565088e-11
10,Prdm16,7.4351025,1.5306298,1.0448692478038166e-13,2.850593284235685e-11
10,C130071C03Rik,7.4142222,1.3096647,1.2234045130496824e-13,3.059530786385081e-11
10,Trim2,7.2395506,1.1446754,4.501736763006928e-13,1.0392086173679839e-10
10,Slc1a3,7.0589433,1.7224128,1.6777330592752694e-12,3.5963406506322027e-10
10,Mir9-3hg,6.906212,1.2260226,4.977670992915929e-12,9.958660433160469e-10
10,Sema5a,6.7787056,1.3408812,1.2125738517089703e-11,2.2743338306116374e-09
10,Creb5,6.6311674,1.6355938,3.330425984858956e-11,5.552560211423182e-09
10,Pax6,6.614421,2.1956248,3.730092666839148e-11,5.891583206939097e-09
10,Rhbdl3,6.523693,2.303688,6.859693040184434e-11,9.802828006473089e-09
10,Hist1h2ap,6.406256,2.3388796,1.4913630688196728e-10,2.0343548043308356e-08
10,Mms22l,6.335561,2.0670073,2.3647961813587643e-10,3.085544930546805e-08
10,Gpm6b,6.268575,1.1589658,3.643671698288723e-10,4.556107819401858e-08
10,Igfbpl1,6.235824,1.323591,4.494060829586109e-10,5.394670619835164e-08
10,Etl4,6.21929,1.4693165,4.994109253969749e-10,5.764354565832006e-08
10,Plpp3,6.085954,1.5601985,1.1579971613805195e-09,1.2411248147510498e-07
10,Rgs20,6.064014,1.8796858,1.3276558868156882e-09,1.3738949366668553e-07
10,Dleu2,5.965443,1.3930453,2.439709524887415e-09,2.4405227613957103e-07
10,Ostm1,5.895702,2.1732907,3.730925503358865e-09,3.611776592122566e-07
10,Gm11266,5.8837247,1.9129082,4.011346936359052e-09,3.7618912987542237e-07
10,Tmem132b,5.857333,1.3568661,4.703587657299156e-09,4.2774141089559903e-07
10,Cdk6,5.84525,1.7641169,5.0580698579468164e-09,4.3813372201254394e-07
10,Rai14,5.8435545,1.4781283,5.109856804544831e-09,4.3813372201254394e-07
10,Mdk,5.7276015,1.3750812,1.0186061957970851e-08,8.491214426630702e-07
10,Efnb1,5.5071416,1.6821111,3.64706496600934e-08,2.880221569208955e-06
10,Masp1,5.3905525,1.711898,7.024133623277511e-08,5.141323171574588e-06
10,Mfge8,5.35229,1.8671042,8.684797004191951e-08,6.205494240376201e-06
10,Heg1,5.2989774,1.4331744,1.164532010896954e-07,7.942637647049451e-06
10,Mid1,5.287424,1.4196471,1.2405071711751418e-07,8.27280449043689e-06
10,Id4,5.1890655,1.491824,2.113521871382126e-07,1.3788432904386435e-05
