,group,names,scores,logfoldchanges,pvals,pvals_adj
0,1,CD32,10.95431,0.59193915,6.335893871752722e-28,1.7930579657060203e-25
1,1,CD39,9.241151,0.6102868,2.438609854276604e-20,3.4506329438013947e-18
3,1,EGFR,6.928551,0.5242671,4.25172925276413e-12,2.4064787570644976e-10
284,2,CD35,11.316839,0.5150061,1.0830718745149858e-29,1.0216978016258032e-27
292,2,human_mouse-1,7.9362507,0.59230614,2.0838451262869558e-15,3.93152113826139e-14
295,2,CD185,7.2418523,0.52604604,4.4259737286601256e-13,5.964526501003883e-12
327,2,CD102,3.7214952,0.5911417,0.00019804659078757056,0.0009039868579497172
566,3,CD340,32.764492,1.3920335,1.8879516029399825e-235,5.342903036320151e-233
567,3,human_mouse-4,31.697226,0.9124508,1.6966198329554067e-220,2.4007170636319005e-218
568,3,CD324,29.70169,1.4615222,7.301960418317963e-194,5.166136995959958e-192
569,3,CD24,28.539532,1.14301,3.788648777918208e-179,1.7869793402514214e-177
570,3,CD9,28.52724,1.2359575,5.38241076748034e-179,2.176031781709909e-177
571,3,CD321,25.859911,0.77456135,1.882408117983799e-147,5.919127748771279e-146
572,3,CD66b,25.507109,2.0483263,1.6439341740930112e-143,4.652333712683221e-142
573,3,CD49b,22.471922,1.1017264,7.813631185835809e-112,1.5794697325653813e-110
574,3,IgD,20.144936,0.97064185,2.98094202639914e-90,5.272541209193479e-89
575,3,CD63,18.817333,0.5719652,5.445734542153738e-79,7.705714377147539e-78
576,3,EGFR,18.628708,0.6407287,1.8800719226890904e-77,2.5336207339095838e-76
578,3,CD71,17.32229,0.516836,3.193935299220803e-67,3.347717369183286e-66
579,3,CD31,16.692396,1.4318743,1.4887441219094655e-62,1.504694951787067e-61
580,3,CD326,16.392221,0.5069608,2.1735434037784746e-60,2.121078562997615e-59
583,3,Notch-1,13.532403,0.53196305,1.0067840045293601e-41,7.122996832045223e-41
587,3,CD15,10.616592,0.7729978,2.4950258646756412e-26,1.1967666435647566e-25
590,3,CD177,9.353508,1.0296276,8.478784362442014e-21,3.427851392244414e-20
596,3,CLEC12A,7.278766,0.5750403,3.3688653030843997e-13,1.0476800887614121e-12
849,4,CD35,20.064428,0.9501687,1.5101919491970578e-89,4.2738432162276734e-87
850,4,CD21,19.587086,0.78632796,1.99278223080659e-85,2.819786856591325e-83
851,4,CD106,19.397764,1.0194714,8.0601487945323105e-84,7.603407029508812e-82
852,4,CD271,18.52871,0.7755712,1.2115607804453395e-76,8.571792521650777e-75
853,4,CD10,18.325165,1.2640721,5.212251103463255e-75,2.9501341245602024e-73
