seqnames,start,end,width,strand,score,gene,peak,zscore,pvalue,p_adjusted
chr1,1201514,1206691,5178,*,0.101962399945543,TNFRSF18,chr1-1201089-1201939,7.1694755553537,3.76428048175448e-13,3.42478499679624e-11
chr1,7943165,7954219,11055,*,0.117016194719219,TNFRSF9,chr1-7953754-7954683,6.67056650557298,1.27408933541861e-11,9.16963996326649e-10
chr1,9069776,9088478,18703,*,0.201098473112827,SLC2A5,chr1-9069237-9070314,3.62718578286282,0.000143263568177614,0.00075581720541844
chr1,9088478,9180059,91582,*,0.0724899485201629,SLC2A5,chr1-9179600-9180517,2.772749182698,0.00277924724331314,0.00740370951474218
chr1,9088478,9522690,434213,*,0.119486732134202,SLC2A5,chr1-9522226-9523153,1.88781428829299,0.0295254431605173,0.0369892665419627
chr1,10979701,11060024,80324,*,0.169616141996577,SRM,chr1-10979333-10980068,1.84198321153273,0.0327388028151604,0.0393682062779809
chr1,11060024,11273107,213084,*,0.160276683079909,SRM,chr1-11272667-11273546,1.97278980673511,0.0242597574934546,0.0325307426678081
chr1,11731924,11934205,202282,*,0.1465832780223,PLOD1,chr1-11731467-11732380,1.7877291269165,0.0369098600565048,0.0420921266916158
chr1,11842425,11934205,91781,*,0.114561964504477,PLOD1,chr1-11842002-11842848,2.00729474023892,0.0223591444399828,0.0309016321265684
chr1,11934205,11940779,6575,*,0.200441120045306,PLOD1,chr1-11940332-11941226,2.78074765446736,0.00271169378647653,0.00725626383928404
chr1,11934205,12320669,386465,*,0.119058514828878,PLOD1,chr1-12320215-12321122,1.81910458000629,0.0344477382320431,0.0404941476730648
chr1,15153720,15247272,93553,*,0.103981251300439,FHAD1,chr1-15153299-15154140,3.19620673196538,0.000696236511336445,0.00258847529503804
chr1,15247272,15261426,14155,*,0.102481681187438,FHAD1,chr1-15261233-15261618,2.24955438992592,0.0122386232558535,0.0210240973778858
chr1,15247272,15409830,162559,*,0.0571976507412848,FHAD1,chr1-15409385-15410275,1.84821331551824,0.0322857449490871,0.0390571656157797
chr1,19477053,19640554,163502,*,-0.0636380108170866,NBL1,chr1-19476493-19477613,-1.70016458609771,0.0445499857532803,0.0468425711518355
chr1,20119566,20152445,32880,*,0.0593332652570142,PLA2G2D,chr1-20152008-20152881,2.68736114797406,0.00360095191326535,0.00893062919578442
chr1,20119566,20192673,73108,*,0.058481826602117,PLA2G2D,chr1-20192235-20193110,1.85147184187739,0.0320508510097265,0.0389390787525576
chr1,22537609,22636506,98898,*,0.133211735941538,C1QA,chr1-22537160-22538058,2.16350725558134,0.0152510931444112,0.0242308965872655
chr1,22537609,22643630,106022,*,0.131479432924683,C1QC,chr1-22537160-22538058,2.20195505880487,0.0138342415810651,0.0226438265118452
chr1,22537609,22652762,115154,*,0.13541361429872,C1QB,chr1-22537160-22538058,2.39232342712433,0.00837104087245444,0.0161331571091028
chr1,22636478,22636506,29,*,0.180894325663846,C1QA,chr1-22635967-22636989,3.18220005547709,0.000730804106134365,0.00268388225421166
chr1,22636478,22643630,7153,*,0.164446395299891,C1QC,chr1-22635967-22636989,2.62516229877614,0.00433038368376435,0.0102108117961426
chr1,22636478,22652762,16285,*,0.178596113554938,C1QB,chr1-22635967-22636989,2.99166442186229,0.00138730538847966,0.00435519959846934
chr1,22636506,22643523,7018,*,0.181786288432522,C1QA,chr1-22643066-22643980,6.01668147468439,8.90144483589157e-10,3.86691594582605e-08
chr1,22636506,22653024,16519,*,0.262774755342047,C1QA,chr1-22652571-22653477,7.20818529339103,2.83512195378332e-13,2.64139720385835e-11
chr1,22636506,22662426,25921,*,0.18380318101918,C1QA,chr1-22661966-22662886,3.04316434398569,0.00117052221863384,0.00383963138656625
chr1,22636506,22710620,74115,*,0.0637701586424366,C1QA,chr1-22710188-22711051,1.77864045070234,0.0376493639292525,0.0426062503794545
chr1,22643523,22643630,108,*,0.186665074022967,C1QC,chr1-22643066-22643980,5.71036064926545,5.6368507002298e-09,2.02842493108269e-07
chr1,22643523,22652762,9240,*,0.193669340561351,C1QB,chr1-22643066-22643980,6.12358382617742,4.57468423508283e-10,2.20591273815694e-08
chr1,22643630,22653024,9395,*,0.273497227557417,C1QC,chr1-22652571-22653477,6.29337830670664,1.55315024965012e-10,8.22998956462952e-09
chr1,22643630,22662426,18797,*,0.183959680042728,C1QC,chr1-22661966-22662886,2.87910885973198,0.00199400325022214,0.00578261817429411
chr1,22643630,22710620,66991,*,0.0732381477467793,C1QC,chr1-22710188-22711051,2.10848679683545,0.0174944518154872,0.0263619520794623
chr1,22652762,22653024,263,*,0.253840987141422,C1QB,chr1-22652571-22653477,6.33246796563599,1.20635195791752e-10,6.53598779896438e-09
chr1,22652762,22662426,9665,*,0.191083445081857,C1QB,chr1-22661966-22662886,3.06619654776495,0.00108400374433405,0.0036323214852918
chr1,22652762,22710620,57859,*,0.0669375468897182,C1QB,chr1-22710188-22711051,1.94022543797717,0.0261761491589384,0.0342434593717854
chr1,22652762,22851717,198956,*,0.0935845403698781,C1QB,chr1-22851323-22852110,1.79411233041552,0.0363976206778061,0.0417978868560088
chr1,25563879,25906991,343113,*,0.157594775975517,STMN1,chr1-25563417-25564340,2.40207199258391,0.00815124983776171,0.0158809400879543
chr1,25902663,26068436,165774,*,0.140111768168275,TRIM63,chr1-25902207-25903119,1.82144287553208,0.0342697813461308,0.0404130314627152
chr1,25905576,25906991,1416,*,0.150274481892683,STMN1,chr1-25905148-25906003,2.31392809965393,0.0103358332267277,0.0186664373854985
chr1,26049902,26068436,18535,*,0.134648833873273,TRIM63,chr1-26049465-26050339,2.01254863680131,0.0220810675526385,0.030746435962698
chr1,26067840,26068436,597,*,0.139895626700132,TRIM63,chr1-26067395-26068285,1.80567605651005,0.0354844773918185,0.0411510702220656
chr1,27863273,28193936,330664,*,0.121899250070869,PTAFR,chr1-27862880-27863666,2.07021385813315,0.0192161610422949,0.0280788874381655
chr1,27863273,28259527,396255,*,0.0752196352448682,SESN2,chr1-27862880-27863666,2.27439383938281,0.0114711587636301,0.020041278100806
